player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Dani Ceballos,Spain,27,40,1956.0,21.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,2.3,2.7,46.0,185.0,19.0,0.0,0.09,0.09,0.0,0.09,0.02,0.13,0.15,0.02,0.15,"2x La Liga Champion, 3x Champions League Champion",,,,,,,4.0,94.5,94.4%,10.28,2.56,1.06,3.17,0.89,1.17,1.0,0.11,,,,,,,,Central Midfield,07.08.1996 (28),"1,79m",right,€10.00m,Real Madrid,La Liga
Arda Güler,Turkey,19,42,1781.0,19.8,5.0,8.0,13.0,5.0,0.0,0.0,1.0,0.0,3.7,3.7,5.9,9.6,40.0,108.0,93.0,0.25,0.4,0.66,0.25,0.66,0.24,0.38,0.62,0.24,0.62,2023-24 La Liga Champion,,,,,,,6.0,64.11,85.9%,6.97,2.58,6.0,2.07,0.52,1.23,0.58,0.52,,,,,,,,Attacking Midfield,25.02.2005 (20),"1,75m",left,€45.00m,Real Madrid,La Liga
Andriy Lunin,Ukraine,25,14,1320.0,14.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.1,0.1,0.0,0.1,"2023-24 La Liga Champion, 2023-24 Champions League Champion",,,,,,,,,,,,,,,,,,68.8%,0.34,0.0%,44.4%,7.7%,1.67,14.8,Goalkeeper,11.02.1999 (26),"1,91m",right,€18.00m,Real Madrid,La Liga
Éder Militão,Brazil,26,17,1309.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,9.0,58.0,2.0,0.07,0.07,0.14,0.07,0.14,0.06,0.05,0.12,0.06,0.12,"3x La Liga Champion, 2x Champions League Champion",0.16,1.59,1.36,1.43,2.79,1.99,,,,,,,,,,,,,,,,,,,Centre-Back,18.01.1998 (27),"1,86m",right,€30.00m,Real Madrid,La Liga
Endrick,Brazil,18,37,863.0,9.6,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,3.5,3.5,1.0,4.5,13.0,11.0,42.0,0.73,0.0,0.73,0.73,0.73,0.62,0.18,0.8,0.62,0.8,2x Série A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,21.07.2006 (18),"1,73m",left,€35.00m,Real Madrid,La Liga
David Alaba,Austria,32,14,601.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,"11x Domestic League Champion, 4x Champions League Champion, 10x Austrian Footballer of the Year",1.83,0.55,1.28,1.46,2.01,0.91,,,,,,,,,,,,,,,,,,,Centre-Back,24.06.1992 (33),"1,80m",left,€6.00m,Real Madrid,La Liga
Jacobo Ramón,Spain,19,5,307.0,3.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,0.0,1.0,2.0,0.29,0.0,0.29,0.29,0.29,0.11,0.08,0.19,0.11,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,06.01.2005 (20),"1,96m",right,€1.00m,Real Madrid,La Liga
Jesús Vallejo,Spain,27,4,138.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,1.0,0.0,0.65,0.65,0.0,0.65,0.0,0.08,0.08,0.0,0.08,2021-22 La Liga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,05.01.1997 (28),"1,84m",right,€1.00m,Real Madrid,La Liga
Diego Aguado,Spain,17,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,07.02.2007 (18),"1,84m",left,€1.00m,Real Madrid,La Liga
Lorenzo Aguado,Spain,21,3,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,19.09.2002 (22),"1,80m",right,€100k,Real Madrid,La Liga
Gonzalo García,Spain,20,4,65.0,0.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.0,3.0,1.38,1.38,2.77,1.38,2.77,0.79,1.56,2.35,0.79,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,24.03.2004 (21),"1,82m",both,€8.00m,Real Madrid,La Liga
Víctor Muñoz,Spain,21,2,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,1.23,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,13.07.2003 (21),"1,73m",right,€1.00m,Real Madrid,La Liga
Daniel Yáñez,Spain,17,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,28.03.2007 (18),"1,77m",left,€150k,Real Madrid,La Liga
Victor Valdepeñas,Spain,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,20.10.2006 (18),"1,88m",left,€500k,Real Madrid,La Liga
Mario Rivas,Spain,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,16.03.2007 (18),-,,€300k,Real Madrid,La Liga
David Jiménez,Spain,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,14.03.2004 (21),"1,70m",right,€400k,Real Madrid,La Liga
Sergio Mestre,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,13.02.2005 (20),"1,93m",right,€50k,Real Madrid,La Liga
Hugo de Llanos,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,18.03.2005 (20),"1,75m",right,€200k,Real Madrid,La Liga
Pol Fortuny,Spain,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,11.03.2005 (20),"1,75m",left,€400k,Real Madrid,La Liga
David Raya,Spain,28,55,4980.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,76.7%,0.28,28.6%,37.3%,12.6%,1.65,16.9,Goalkeeper,15.09.1995 (29),"1,83m",right,€40.00m,Arsenal,Premier League
William Saliba,France,23,51,4464.0,49.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.6,2.6,0.9,3.5,20.0,170.0,7.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,,0.16,1.76,0.69,0.78,3.8,1.74,,,,,,,,,,,,,,,,,,,Centre-Back,24.03.2001 (24),"1,92m",right,€80.00m,Arsenal,Premier League
Declan Rice,England,25,52,4116.0,45.7,9.0,10.0,19.0,9.0,0.0,0.0,10.0,1.0,5.3,5.3,7.8,13.1,113.0,254.0,121.0,0.2,0.22,0.42,0.2,0.42,0.13,0.18,0.31,0.13,0.31,,,,,,,,3.13,50.87,84.0%,5.84,2.68,2.78,1.72,0.89,0.96,1.48,1.06,,,,,,,,Central Midfield,14.01.1999 (26),"1,88m",right,€120.00m,Arsenal,Premier League
Thomas Partey,Ghana,31,52,3940.0,43.8,4.0,2.0,6.0,4.0,0.0,0.0,7.0,0.0,2.9,2.9,2.6,5.5,49.0,222.0,63.0,0.09,0.05,0.14,0.09,0.14,0.07,0.06,0.14,0.07,0.14,3x Ghana Player of the Year,1.62,2.62,1.2,1.0,1.52,0.87,,,,,,,,,,,,,,,,,,,Defensive Midfield,13.06.1993 (32),"1,85m",right,€14.00m,Arsenal,Premier League
Jurriën Timber,Netherlands,23,48,3666.0,40.7,2.0,4.0,6.0,2.0,0.0,0.0,9.0,0.0,1.8,1.8,2.2,4.1,70.0,193.0,122.0,0.05,0.1,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,2x Eredivisie Champion,3.37,2.32,0.97,0.77,1.79,0.94,,,,,,,,,,,,,,,,,,,Right-Back,17.06.2001 (24),"1,79m",right,€55.00m,Arsenal,Premier League
Gabriel Martinelli,Brazil,23,51,3551.0,39.5,10.0,5.0,15.0,10.0,0.0,0.0,3.0,0.0,11.6,11.6,7.0,18.6,168.0,67.0,373.0,0.25,0.13,0.38,0.25,0.38,0.32,0.2,0.52,0.32,0.52,,,,,,,,2.82,26.02,71.1%,1.86,4.65,10.15,0.9,0.17,0.73,0.7,0.62,,,,,,,,Left Winger,18.06.2001 (24),"1,78m",right,€55.00m,Arsenal,Premier League
Gabriel Magalhães,Brazil,26,42,3499.0,38.9,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,3.9,3.9,0.9,4.8,13.0,162.0,11.0,0.13,0.03,0.15,0.13,0.15,0.11,0.02,0.14,0.11,0.14,,0.31,0.85,0.6,1.51,3.55,2.3,,,,,,,,,,,,,,,,,,,Centre-Back,19.12.1997 (27),"1,90m",left,€75.00m,Arsenal,Premier League
Leandro Trossard,Belgium,29,56,3452.0,38.4,10.0,9.0,19.0,10.0,0.0,1.0,5.0,1.0,9.9,9.1,6.8,15.9,98.0,133.0,271.0,0.26,0.23,0.5,0.26,0.5,0.28,0.19,0.47,0.26,0.44,2018-19 Belgian First Division A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,04.12.1994 (30),"1,72m",right,€22.00m,Arsenal,Premier League
Martin Ødegaard,Norway,25,45,3437.0,38.2,6.0,11.0,17.0,5.0,1.0,2.0,4.0,0.0,6.7,5.9,7.0,12.8,123.0,316.0,193.0,0.16,0.29,0.45,0.13,0.42,0.19,0.2,0.39,0.17,0.37,,,,,,,,4.73,55.67,82.4%,9.05,3.57,5.56,0.75,0.29,0.26,0.35,0.26,,,,,,,,Attacking Midfield,17.12.1998 (26),"1,78m",left,€85.00m,Arsenal,Premier League
Kai Havertz,Germany,25,36,2810.0,31.2,15.0,4.0,19.0,15.0,0.0,0.0,7.0,0.0,12.2,12.2,3.5,15.7,39.0,80.0,157.0,0.48,0.13,0.61,0.48,0.61,0.45,0.13,0.58,0.45,0.58,2020-21 Champions League Champion,,,,,,,2.31,26.28,79.0%,2.92,1.4,5.6,0.8,0.23,1.06,1.36,2.99,,,,,,,,Centre-Forward,11.06.1999 (26),"1,93m",left,€65.00m,Arsenal,Premier League
Mikel Merino,Spain,28,44,2640.0,29.3,9.0,5.0,14.0,9.0,0.0,0.0,5.0,1.0,7.0,6.9,3.3,10.2,16.0,102.0,123.0,0.31,0.17,0.48,0.31,0.48,0.26,0.12,0.38,0.26,0.38,,,,,,,,2.35,32.29,77.8%,3.81,0.6,4.59,2.5,0.78,1.01,1.42,3.06,,,,,,,,Central Midfield,22.06.1996 (29),"1,89m",left,€35.00m,Arsenal,Premier League
Bukayo Saka,England,22,37,2609.0,29.0,12.0,13.0,25.0,10.0,2.0,3.0,5.0,0.0,11.2,8.9,10.9,19.8,139.0,88.0,341.0,0.41,0.45,0.86,0.34,0.79,0.41,0.39,0.8,0.32,0.72,,,,,,,,5.15,36.65,74.3%,3.06,4.93,11.95,1.62,0.36,1.08,0.43,0.36,,,,,,,,Right Winger,05.09.2001 (23),"1,78m",left,€150.00m,Arsenal,Premier League
Myles Lewis-Skelly,England,17,39,2303.0,25.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,0.3,0.3,1.0,1.2,44.0,95.0,44.0,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06,,2.03,1.29,0.46,0.46,1.61,0.55,,,,,,,,,,,,,,,,,,,Left-Back,26.09.2006 (18),"1,78m",left,€45.00m,Arsenal,Premier League
Jakub Kiwior,Poland,24,30,2160.0,24.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,1.1,1.4,7.0,70.0,2.0,0.04,0.08,0.12,0.04,0.12,0.01,0.05,0.07,0.01,0.07,,0.1,1.76,0.43,0.86,3.56,1.05,,,,,,,,,,,,,,,,,,,Centre-Back,15.02.2000 (25),"1,89m",left,€28.00m,Arsenal,Premier League
Ben White,England,26,26,1533.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,1.5,2.1,28.0,88.0,54.0,0.0,0.12,0.12,0.0,0.12,0.04,0.09,0.12,0.04,0.12,,3.09,1.49,1.13,0.95,3.27,1.43,,,,,,,,,,,,,,,,,,,Right-Back,08.10.1997 (27),"1,86m",right,€45.00m,Arsenal,Premier League
Riccardo Calafiori,Italy,22,29,1496.0,16.6,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,1.5,1.5,1.3,2.8,30.0,67.0,39.0,0.18,0.12,0.3,0.18,0.3,0.1,0.09,0.18,0.1,0.18,,2.48,2.48,1.03,1.09,2.55,1.76,,,,,,,,,,,,,,,,,,,Left-Back,19.05.2002 (23),"1,88m",left,€35.00m,Arsenal,Premier League
Jorginho,Italy,32,27,1455.0,16.2,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.8,0.1,0.6,0.6,13.0,65.0,11.0,0.06,0.0,0.06,0.0,0.0,0.07,0.05,0.13,0.01,0.06,"2020-21 UEFA Men's Player of the Year, 2020-21 Champions League Champion",,,,,,,3.21,86.92,89.8%,9.09,0.53,0.94,1.87,2.01,0.67,0.4,0.67,,,,,,,,Defensive Midfield,20.12.1991 (33),"1,80m",right,€6.00m,Arsenal,Premier League
Ethan Nwaneri,England,17,37,1387.0,15.4,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,1.9,1.9,1.6,3.5,56.0,39.0,129.0,0.58,0.13,0.71,0.58,0.71,0.15,0.13,0.28,0.15,0.28,,,,,,,,2.65,40.38,79.3%,3.14,4.5,10.38,1.37,0.16,0.97,0.48,0.32,,,,,,,,Attacking Midfield,21.03.2007 (18),"1,76m",left,€55.00m,Arsenal,Premier League
Gabriel Jesus,Brazil,27,27,1207.0,13.4,7.0,2.0,9.0,7.0,0.0,0.0,5.0,0.0,4.4,4.4,1.1,5.5,21.0,24.0,93.0,0.52,0.15,0.67,0.52,0.67,0.45,0.12,0.57,0.45,0.57,"5x Domestic League Champion, 2016 Brazil Golden Ball",,,,,,,2.62,30.35,76.6%,2.51,2.09,9.73,1.67,0.63,1.99,0.94,1.47,,,,,,,,Centre-Forward,03.04.1997 (28),"1,75m",right,€32.00m,Arsenal,Premier League
Raheem Sterling,England,29,28,1147.0,12.7,1.0,5.0,6.0,1.0,0.0,1.0,5.0,0.0,3.0,2.2,1.3,3.5,39.0,23.0,107.0,0.08,0.39,0.47,0.08,0.47,0.33,0.15,0.48,0.24,0.39,"4x Premier League Champion, 2018-19 FWA Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,08.12.1994 (30),"1,70m",right,€10.00m,Arsenal,Premier League
Oleksandr Zinchenko,Ukraine,27,23,795.0,8.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.8,1.7,11.0,65.0,27.0,0.11,0.11,0.23,0.11,0.23,0.11,0.1,0.21,0.11,0.21,4x Premier League Champion,3.45,0.83,0.55,1.24,1.24,1.93,,,,,,,,,,,,,,,,,,,Left-Back,15.12.1996 (28),"1,75m",left,€20.00m,Arsenal,Premier League
Kieran Tierney,Scotland,27,20,456.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.5,1.9,10.0,22.0,36.0,0.2,0.0,0.2,0.2,0.2,0.08,0.36,0.44,0.08,0.44,4x Scottish Premiership Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left-Back,05.06.1997 (28),"1,80m",left,€9.00m,Arsenal,Premier League
Jack Porter,England,16,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,15.07.2008 (16),"1,87m",right,€400k,Arsenal,Premier League
Tommy Setford,England,18,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,13.03.2006 (19),"1,85m",right,-,Arsenal,Premier League
Josh Nichols,England,18,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,26.07.2006 (18),-,,-,Arsenal,Premier League
Neto,Brazil,35,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17 Serie A Champion,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,19.07.1989 (35),"1,90m",right,€1.50m,Arsenal,Premier League
Maldini Kacurri,Albania,18,1,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,04.10.2005 (19),"1,89m",,€300k,Arsenal,Premier League
Ayden Heaven,England,17,1,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,22.09.2006 (18),"1,89m",left,€5.00m,Arsenal,Premier League
Ismeal Kabia,England,18,1,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,10.12.2005 (19),-,right,-,Arsenal,Premier League
Nathan Butler-Oyedeji,England,21,2,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,04.01.2003 (22),"1,77m",right,€1.00m,Arsenal,Premier League
Takehiro Tomiyasu,Japan,25,1,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,05.11.1998 (26),"1,88m",right,€18.00m,Arsenal,Premier League
Reiss Nelson,England,24,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18 Premier League 2 — Division 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,10.12.1999 (25),"1,75m",right,€16.00m,Arsenal,Premier League
Alexei Rojas,Colombia,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,28.09.2005 (19),"1,87m",right,€250k,Arsenal,Premier League
Brayden Clarke,Wales,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,03.07.2007 (17),-,right,-,Arsenal,Premier League
Aaron Ramsdale,England,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6%,0.32,28.6%,10.0%,5.5%,0.67,11.7,Goalkeeper,14.05.1998 (27),"1,90m",right,€16.00m,Arsenal,Premier League
Eddie Nketiah,England,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-18 Premier League 2 — Division 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,30.05.1999 (26),"1,75m",right,€18.00m,Arsenal,Premier League
Zane Monlouis,England,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,1.05,1.23,6.13,2.45,,,,,,,,,,,,,,,,,,,Centre-Back,16.10.2003 (21),"1,86m",right,€400k,Arsenal,Premier League
Jack Henry-Francis,Ireland,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,23.09.2003 (21),"1,81m",,€200k,Arsenal,Premier League
Josh Robinson,England,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,20.12.2004 (20),-,right,-,Arsenal,Premier League
Michal Rosiak,Poland,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,12.10.2005 (19),"1,80m",right,-,Arsenal,Premier League
Jimi Gower,England,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central Midfield,01.10.2004 (20),"1,81m",right,-,Arsenal,Premier League
Mohamed Salah,Egypt,32,52,4490.0,49.9,34.0,23.0,57.0,23.0,11.0,12.0,1.0,0.0,30.2,21.6,17.7,39.3,191.0,184.0,602.0,0.68,0.46,1.14,0.46,0.92,0.66,0.38,1.04,0.47,0.85,"2x African Footballer of the Year, 2x Premier League Player of the Season, 4x Domestic League Champion, 2018-19 Champions League Champion, 3x FWA Footballer of the Year, 2x PFA Players' Player of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,15.06.1992 (33),"1,75m",left,€50.00m,Liverpool,Premier League
Virgil van Dijk,Netherlands,33,49,4436.0,49.3,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,2.9,2.9,0.8,3.7,23.0,234.0,6.0,0.1,0.02,0.12,0.1,0.12,0.06,0.02,0.08,0.06,0.08,"2018-19 Premier League Player of the Season, 2018-19 UEFA Men's Player of the Year, 5x Domestic League Champion, 2018-19 Champions League Champion, 2018-19 PFA Players' Player of the Year",0.15,0.97,1.38,0.84,4.88,3.04,,,,,,,,,,,,,,,,,,,Centre-Back,08.07.1991 (33),"1,95m",right,€23.00m,Liverpool,Premier League
Ryan Gravenberch,Netherlands,22,49,4196.0,46.6,0.0,4.0,4.0,0.0,0.0,0.0,7.0,1.0,1.1,1.1,3.8,4.9,87.0,232.0,72.0,0.0,0.09,0.09,0.0,0.09,0.03,0.09,0.11,0.03,0.11,4x Domestic League Champion,,,,,,,1.87,53.28,89.5%,5.3,1.99,1.68,2.06,1.87,1.05,1.49,0.68,,,,,,,,Defensive Midfield,16.05.2002 (23),"1,90m",right,€75.00m,Liverpool,Premier League
Alexis Mac Allister,Argentina,25,49,3558.0,39.5,7.0,6.0,13.0,7.0,0.0,0.0,11.0,0.0,4.3,4.3,7.0,11.3,44.0,221.0,92.0,0.18,0.15,0.33,0.18,0.33,0.12,0.19,0.31,0.12,0.31,"2x Domestic League Champion, 2022 World Cup Champion",,,,,,,4.12,52.03,83.8%,6.03,1.24,2.57,3.24,0.86,2.21,1.0,0.53,,,,,,,,Central Midfield,24.12.1998 (26),"1,76m",right,€100.00m,Liverpool,Premier League
