player,nation,age,mp,min,90s Played,gls,ast,g+a,g-pk,pk,pkatt,Yellow Cards,Red Cards,xg,npxg,xag,npxg+xag,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals scored per 90 minutes,Assists per 90 minutes,Goal+ Assist per 90 minutes,g-pk per 90 minutes,g+a-pk per 90 minutes,xg per 90 minutes,xag per 90 minutes,xg+xag per 90 minutes,npxg per 90 minutes,npxg+xag per 90 minutes,achievements,df_progressive_passes_rec_90,df_tackles_90,df_interceptions_90,df_blocks_90,df_clearances_90,df_aerials_won_90,mf_shot_creating_actions_90,mf_passes_attempted_90,mf_pass_completion_pct,mf_progressive_passes_90,mf_progressive_carries_90,mf_progressive_passes_rec_90,mf_tackles_90,mf_interceptions_90,mf_blocks_90,mf_clearances_90,mf_aerials_won_90,gk_save_percentage,gk_psxg_per_sot,gk_save_pct_penalty_kicks,gk_clean_sheet_percentage,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_of_def_actions,Position,Date of birth / Age,Height,Foot,Market value,Club,League
Dominik Szoboszlai,Hungary,23,49,3421.0,38.0,8.0,8.0,16.0,8.0,0.0,0.0,6.0,0.0,8.4,8.4,8.1,16.5,84.0,169.0,158.0,0.21,0.21,0.42,0.21,0.42,0.24,0.23,0.47,0.24,0.47,4x Domestic League Champion,,,,,,,4.0,47.74,83.7%,4.78,2.39,4.52,1.44,0.35,1.44,0.72,0.6,,,,,,,,Attacking Midfield,25.10.2000 (24),"1,87m",right,€80.00m,Liverpool,Premier League
Ibrahima Konaté,France,25,42,3365.0,37.4,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,1.0,3.2,27.0,134.0,3.0,0.05,0.05,0.11,0.05,0.11,0.06,0.03,0.09,0.06,0.09,2024-25 Premier League Champion,0.08,1.22,0.69,1.05,4.7,2.32,,,,,,,,,,,,,,,,,,,Centre-Back,25.05.1999 (26),"1,94m",right,€60.00m,Liverpool,Premier League
Luis Díaz,Colombia,27,50,3323.0,36.9,17.0,5.0,22.0,17.0,0.0,0.0,3.0,0.0,14.5,14.5,6.2,20.7,134.0,133.0,371.0,0.46,0.14,0.6,0.46,0.6,0.43,0.18,0.61,0.43,0.61,4x Domestic League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,13.01.1997 (28),"1,80m",right,€70.00m,Liverpool,Premier League
Andrew Robertson,Scotland,30,45,3311.0,36.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.6,1.6,5.3,6.9,76.0,214.0,127.0,0.0,0.05,0.05,0.0,0.05,0.05,0.16,0.21,0.05,0.21,"2x Premier League Champion, 2018-19 Champions League Champion",3.8,1.33,0.75,0.48,2.23,0.27,,,,,,,,,,,,,,,,,,,Left-Back,11.03.1994 (31),"1,78m",left,€18.00m,Liverpool,Premier League
Alisson,Brazil,31,35,3168.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,"2019 The Best FIFA Men's Goalkeeper, 2x Premier League Champion, 2018-19 Champions League Champion",,,,,,,,,,,,,,,,,,73.4%,0.29,0.0%,33.3%,4.8%,1.62,15.4,Goalkeeper,02.10.1992 (32),"1,93m",right,€20.00m,Liverpool,Premier League
Trent Alexander-Arnold,England,25,44,3073.0,34.1,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,2.3,2.3,7.8,10.2,56.0,278.0,110.0,0.12,0.21,0.32,0.12,0.32,0.07,0.24,0.31,0.07,0.31,"2x Premier League Champion, 2018-19 Champions League Champion",3.46,2.7,1.23,0.88,1.89,0.13,,,,,,,,,,,,,,,,,,,Right-Back,07.10.1998 (26),"1,80m",right,€75.00m,Liverpool,Premier League
Cody Gakpo,Netherlands,25,49,2690.0,29.9,18.0,6.0,24.0,17.0,1.0,1.0,5.0,0.0,9.7,8.9,5.8,14.7,80.0,68.0,327.0,0.6,0.2,0.8,0.57,0.77,0.38,0.23,0.61,0.35,0.58,"2024-25 Premier League Champion, 2021-22 Netherlands Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,07.05.1999 (26),"1,93m",right,€70.00m,Liverpool,Premier League
Curtis Jones,England,23,46,2438.0,27.1,3.0,6.0,9.0,3.0,0.0,0.0,3.0,1.0,4.7,4.7,3.0,7.7,44.0,135.0,103.0,0.11,0.22,0.33,0.11,0.33,0.21,0.14,0.34,0.21,0.34,2x Premier League Champion,,,,,,,2.9,57.15,92.7%,5.97,1.9,4.45,1.95,0.39,1.21,0.48,0.73,,,,,,,,Central Midfield,30.01.2001 (24),"1,85m",right,€45.00m,Liverpool,Premier League
Darwin Núñez,Uruguay,25,47,2058.0,22.9,7.0,5.0,12.0,7.0,0.0,0.0,9.0,0.0,8.6,8.6,1.8,10.5,35.0,39.0,114.0,0.31,0.22,0.52,0.31,0.52,0.5,0.1,0.6,0.5,0.6,"2x Domestic League Champion, 2021-22 Portuguese Best Player",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,24.06.1999 (26),"1,87m",right,€45.00m,Liverpool,Premier League
Diogo Jota,Portugal,27,37,1831.0,20.3,9.0,3.0,12.0,9.0,0.0,0.0,2.0,0.0,8.9,8.9,2.0,10.8,39.0,45.0,99.0,0.44,0.15,0.59,0.44,0.59,0.56,0.12,0.68,0.56,0.68,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,04.12.1996 (28),"1,78m",right,€40.00m,Liverpool,Premier League
Caoimhín Kelleher,Ireland,25,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,69.5%,0.32,100.0%,46.7%,4.6%,1.27,15.2,Goalkeeper,23.11.1998 (26),"1,88m",right,€20.00m,Liverpool,Premier League
Conor Bradley,Northern Ireland,21,29,1391.0,15.5,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.7,2.7,44.0,44.0,54.0,0.0,0.26,0.26,0.0,0.26,0.09,0.15,0.24,0.09,0.24,2024-25 Premier League Champion,4.78,2.12,0.44,1.06,3.19,1.24,,,,,,,,,,,,,,,,,,,Right-Back,09.07.2003 (21),"1,81m",right,€30.00m,Liverpool,Premier League
Jarell Quansah,England,21,25,1298.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,5.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09,2024-25 Premier League Champion,0.66,1.45,1.32,1.59,4.76,1.06,,,,,,,,,,,,,,,,,,,Centre-Back,29.01.2003 (22),"1,90m",right,€20.00m,Liverpool,Premier League
Wataru Endo,Japan,31,32,879.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,09.02.1993 (32),"1,78m",right,€8.00m,Liverpool,Premier League
Joe Gomez,England,27,17,876.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,7.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,"2x Premier League Champion, 2018-19 Champions League Champion",0.68,2.05,1.23,1.77,4.09,1.5,,,,,,,,,,,,,,,,,,,Centre-Back,23.05.1997 (28),"1,88m",right,€20.00m,Liverpool,Premier League
Harvey Elliott,England,21,28,838.0,9.3,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,2.4,2.4,1.1,3.6,13.0,53.0,40.0,0.54,0.32,0.86,0.54,0.86,0.42,0.19,0.61,0.42,0.61,2024-25 Premier League Champion,,,,,,,4.48,64.76,81.5%,8.8,2.16,6.64,0.83,0.66,1.33,0.83,0.17,,,,,,,,Attacking Midfield,04.04.2003 (22),"1,70m",left,€30.00m,Liverpool,Premier League
Federico Chiesa,Italy,26,14,470.0,5.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,7.0,7.0,20.0,0.38,0.19,0.57,0.38,0.57,0.21,0.07,0.28,0.21,0.28,2024-25 Premier League Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,25.10.1997 (27),"1,75m",right,€14.00m,Liverpool,Premier League
Tyler Morton,England,21,5,260.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.35,0.35,0.0,0.35,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Midfield,31.10.2002 (22),"1,85m",right,€7.00m,Liverpool,Premier League
James McConnell,England,19,4,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Central Midfield,13.09.2004 (20),-,,€2.00m,Liverpool,Premier League
Trey Nyoni,England,17,5,226.0,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Central Midfield,30.06.2007 (18),"1,80m",right,€4.50m,Liverpool,Premier League
Jayden Danns,England,18,4,117.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,0.0,0.77,0.0,0.77,0.77,0.77,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,16.01.2006 (19),"1,83m",right,€800k,Liverpool,Premier League
Vitezslav Jaros,Czech Republic,23,2,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-24 Austrian Bundesliga Champion,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,23.07.2001 (23),"1,90m",right,€4.00m,Liverpool,Premier League
Rio Ngumoha,England,15,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,29.08.2008 (16),"1,70m",right,-,Liverpool,Premier League
Isaac Mabaya,England,19,1,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,22.09.2004 (20),-,right,-,Liverpool,Premier League
Amara Nallo,England,17,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,18.11.2006 (18),"1,86m",both,€1.00m,Liverpool,Premier League
Kieran Morrison,Northern Ireland,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,09.11.2006 (18),"1,80m",left,-,Liverpool,Premier League
Harvey Davies,England,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,03.09.2003 (21),"1,90m",left,€500k,Liverpool,Premier League
James Norris,England,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left-Back,04.04.2003 (22),"1,72m",left,€150k,Liverpool,Premier League
Ranel Young,England,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,26.12.2005 (19),-,,-,Liverpool,Premier League
Willian Pacho,Ecuador,22,52,4133.0,45.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,6.0,89.0,3.0,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02,"3x Domestic League Champion, 2024-25 Champions League Champion",0.08,2.03,1.48,1.28,4.07,1.53,,,,,,,,,,,,,,,,,,,Centre-Back,16.10.2001 (23),"1,87m",left,€65.00m,PSG,Ligue 1
Achraf Hakimi,Morocco,25,48,4102.0,45.6,9.0,12.0,21.0,9.0,0.0,0.0,7.0,0.0,6.1,6.1,10.8,16.9,168.0,293.0,434.0,0.2,0.26,0.46,0.2,0.46,0.15,0.27,0.43,0.15,0.43,"5x Domestic League Champion, 2024-25 Champions League Champion",10.79,2.08,1.12,1.24,1.09,0.38,,,,,,,,,,,,,,,,,,,Right-Back,04.11.1998 (26),"1,81m",right,€80.00m,PSG,Ligue 1
Vitinha,Portugal,24,52,3927.0,43.6,7.0,3.0,10.0,4.0,3.0,4.0,1.0,0.0,5.7,2.6,4.7,7.3,77.0,327.0,78.0,0.16,0.07,0.23,0.09,0.16,0.15,0.12,0.27,0.07,0.19,"5x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,3.35,98.25,93.0%,8.38,2.01,1.99,1.57,0.9,0.88,1.24,0.05,,,,,,,,Central Midfield,13.02.2000 (25),"1,72m",right,€80.00m,PSG,Ligue 1
João Neves,Portugal,19,52,3776.0,42.0,5.0,9.0,14.0,5.0,0.0,0.0,4.0,0.0,5.1,5.1,5.7,10.8,57.0,234.0,112.0,0.12,0.21,0.33,0.12,0.33,0.14,0.16,0.3,0.14,0.3,"2x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,3.07,73.11,91.4%,6.35,1.56,2.95,3.26,0.95,1.37,1.37,1.0,,,,,,,,Central Midfield,27.09.2004 (20),"1,74m",right,€80.00m,PSG,Ligue 1
Bradley Barcola,France,21,58,3655.0,40.6,21.0,18.0,39.0,21.0,0.0,0.0,4.0,0.0,19.5,19.5,13.9,33.3,198.0,121.0,551.0,0.52,0.44,0.96,0.52,0.96,0.54,0.38,0.92,0.54,0.92,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,02.09.2002 (22),"1,82m",right,€70.00m,PSG,Ligue 1
Nuno Mendes,Portugal,22,46,3572.0,39.7,5.0,5.0,10.0,5.0,0.0,0.0,8.0,0.0,4.4,4.4,6.3,10.6,100.0,225.0,155.0,0.13,0.13,0.25,0.13,0.25,0.13,0.18,0.31,0.13,0.31,"5x Domestic League Champion, 2024-25 Champions League Champion",4.48,2.26,1.17,1.11,2.51,1.0,,,,,,,,,,,,,,,,,,,Left-Back,19.06.2002 (23),"1,80m",left,€70.00m,PSG,Ligue 1
Gianluigi Donnarumma,Italy,25,40,3561.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,68.6%,0.31,0.0%,27.0%,6.4%,0.86,12.6,Goalkeeper,25.02.1999 (26),"1,96m",right,€40.00m,PSG,Ligue 1
Marquinhos,Brazil,30,42,3554.0,39.5,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.8,1.8,1.4,3.2,36.0,238.0,5.0,0.08,0.0,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,"10x Ligue 1 Champion, 3x Coupe de la Ligue Champion, 2024-25 Champions League Champion",0.14,1.69,0.49,1.43,4.61,2.09,,,,,,,,,,,,,,,,,,,Centre-Back,14.05.1994 (31),"1,83m",right,€35.00m,PSG,Ligue 1
Ousmane Dembélé,France,27,49,3307.0,36.7,33.0,13.0,46.0,32.0,1.0,1.0,3.0,1.0,24.7,23.9,11.9,35.8,216.0,224.0,390.0,0.9,0.35,1.25,0.87,1.22,0.78,0.38,1.15,0.75,1.13,"2024-25 Ligue 1 Male Player of the Year, 5x Domestic League Champion, 2024-25 Champions League Champion, 2018 World Cup Champion",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,15.05.1997 (28),"1,78m",both,€90.00m,PSG,Ligue 1
Désiré Doué,France,19,54,3012.0,33.5,15.0,14.0,29.0,15.0,0.0,0.0,2.0,0.0,7.8,7.8,10.4,18.2,149.0,166.0,296.0,0.45,0.42,0.87,0.45,0.87,0.29,0.38,0.67,0.29,0.67,"2024-25 Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,03.06.2005 (20),"1,81m",right,€90.00m,PSG,Ligue 1
Warren Zaïre-Emery,France,18,48,2986.0,33.2,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,1.8,4.7,64.0,179.0,113.0,0.09,0.06,0.15,0.09,0.15,0.1,0.06,0.16,0.1,0.16,"3x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,2.61,70.24,91.6%,6.37,2.37,4.03,2.2,0.92,1.46,0.88,0.44,,,,,,,,Central Midfield,08.03.2006 (19),"1,78m",right,€55.00m,PSG,Ligue 1
Lucas Beraldo,Brazil,20,33,2453.0,27.3,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.4,1.4,10.0,137.0,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,"2x Ligue 1 Champion, 2024-25 Champions League Champion",0.0,1.63,1.05,0.75,2.8,2.17,,,,,,,,,,,,,,,,,,,Centre-Back,24.11.2003 (21),"1,86m",left,€25.00m,PSG,Ligue 1
Khvicha Kvaratskhelia,Georgia,23,25,1800.0,20.0,7.0,5.0,12.0,7.0,0.0,0.0,1.0,0.0,5.3,5.3,6.4,11.7,104.0,69.0,196.0,0.35,0.25,0.6,0.35,0.6,0.29,0.35,0.64,0.29,0.64,"3x Domestic League Champion, 2024-25 Champions League Champion, 4x Georgian Footballer of the Year",,,,,,,,,,,,,,,,,,,,,,,,,Left Winger,12.02.2001 (24),"1,83m",both,€90.00m,PSG,Ligue 1
Gonçalo Ramos,Portugal,23,41,1675.0,18.6,18.0,6.0,24.0,14.0,4.0,5.0,2.0,0.0,16.3,14.0,3.0,16.9,14.0,26.0,68.0,0.97,0.32,1.29,0.75,1.07,1.15,0.21,1.36,0.98,1.19,"3x Domestic League Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,20.06.2001 (24),"1,85m",right,€40.00m,PSG,Ligue 1
Lucas Hernández,France,28,25,1221.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,6.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,"6x Domestic League Champion, 2x Champions League Champion, 2018 World Cup Champion",0.6,2.22,0.77,1.28,3.75,1.45,,,,,,,,,,,,,,,,,,,Left-Back,14.02.1996 (29),"1,84m",left,€25.00m,PSG,Ligue 1
Senny Mayulu,France,18,29,1083.0,12.0,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.2,3.2,2.1,5.2,30.0,49.0,59.0,0.42,0.25,0.66,0.42,0.66,0.33,0.22,0.55,0.33,0.55,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,4.09,50.56,87.3%,5.14,3.15,6.19,2.73,0.52,0.84,1.26,0.1,,,,,,,,Central Midfield,17.05.2006 (19),"1,83m",both,€15.00m,PSG,Ligue 1
Marco Asensio,Spain,28,16,753.0,8.4,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,5.8,5.8,2.8,8.6,22.0,38.0,56.0,0.24,0.48,0.72,0.24,0.72,0.69,0.34,1.02,0.69,1.02,"5x Domestic League Champion, 4x Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,21.01.1996 (29),"1,82m",left,€20.00m,PSG,Ligue 1
Randal Kolo Muani,France,25,14,465.0,5.2,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,5.5,4.7,1.2,5.9,10.0,9.0,48.0,0.39,0.19,0.58,0.19,0.39,1.07,0.23,1.3,0.92,1.14,"2x Ligue 1 Champion, 2024-25 Champions League Champion",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Forward,05.12.1998 (26),"1,87m",right,€30.00m,PSG,Ligue 1
Milan Škriniar,Slovakia,29,5,382.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,"3x Domestic League Champion, 4x Slovak Footballer of the Year",0.0,1.52,1.4,1.63,4.66,2.1,,,,,,,,,,,,,,,,,,,Centre-Back,11.02.1995 (30),"1,88m",right,€15.00m,PSG,Ligue 1
Ibrahim Mbaye,France,16,10,354.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,1.1,2.9,15.0,9.0,54.0,0.25,0.25,0.51,0.25,0.51,0.48,0.3,0.78,0.48,0.78,2024-25 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right Winger,24.01.2008 (17),"1,75m",right,€3.00m,PSG,Ligue 1
Yoram Zague,France,18,6,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,5.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,2023-24 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Right-Back,15.05.2006 (19),"1,68m",right,€2.50m,PSG,Ligue 1
Axel Tapé,France,16,3,251.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,10.08.2007 (17),"1,80m",right,€2.00m,PSG,Ligue 1
Arnau Tenas,Spain,23,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.21,0.21,0.0,0.21,2023-24 Ligue 1 Champion,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,30.05.2001 (24),"1,85m",right,€3.00m,PSG,Ligue 1
Presnel Kimpembe,France,28,5,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6x Ligue 1 Champion, 2x Coupe de la Ligue Champion, 2018 World Cup Champion",,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,13.08.1995 (29),"1,83m",left,€5.00m,PSG,Ligue 1
Noham Kamara,France,17,2,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,22.01.2007 (18),"1,83m",right,€500k,PSG,Ligue 1
Naoufel El Hannach,Morocco,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centre-Back,07.12.2006 (18),"1,83m",right,-,PSG,Ligue 1
Louis Mouquet,Portugal,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goalkeeper,21.07.2004 (20),"1,87m",right,-,PSG,Ligue 1
Carlos Soler,Spain,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2x Ligue 1 Champion,,,,,,,3.26,42.73,85.2%,3.58,1.09,2.36,1.02,0.51,1.21,1.34,0.64,,,,,,,,Central Midfield,02.01.1997 (28),"1,80m",right,€18.00m,PSG,Ligue 1
Wassim Slama,France,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Midfield,26.09.2008 (16),-,,-,PSG,Ligue 1
